source§link§author§title§theme§year§content
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=alain&texte=&reference=&theme=§Alain§Système des beaux-arts, livre 1, chapitre VII.§imagination|art§§Dans l'imagination errante tout est promesse, par des émotions sans mesure ; aussi il se peut bien que le sculpteur sans expérience souhaite quelque matière plastique qui change aussi vite que ses propres inspirations. Mais quand il souhaiterait seulement quelque aide du diable, par laquelle le marbre serait taillé aussitôt selon le désir, il se tromperait encore sur sa véritable puissance. Si le pouvoir d'exécuter n'allait pas beaucoup plus loin que le pouvoir de penser ou de rêver, il n'y aurait point d'artistes... Sans doute un des mouvements les plus naturels de l'artiste est d'ajouter un peu à la nature et de finir cette ébauche ; c'est donner à un fantôme la forme d'un objets. Et c'est ce que peuvent remarquer ceux qui sculptent des cannes ; ils cherchent dans les formes de la racine quelque tête d'animal à peine ébauchée ; mais celui qui est habile marche ici prudemment ; chaque parcelle de bois enlevée détermine un peu plus la forme et conduit à un nouvel essai. Ainsi l'artiste observateur décide par l'action inspirée, afin de percevoir quelque chose. En sorte que son modèle c'est d'abord l'objet et ensuite l'oeuvre. 
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=bergson&texte=&reference=&theme=§Bergson (Henri)§Texte donné au baccalauréat.§societe|morale|religion§§Qui ne voit que la cohésion sociale est due, en grande partie, à la nécessité pour une société de se défendre contre d'autres, et que c'est d'abord contre tous les autres hommes qu'on aime les hommes avec lesquels on vit ? Tel est l'instinct primitif. Il est encore là, heureusement dissimulé sous les apports de la civilisation ; mais aujourd'hui encore nous aimons naturellement et directement nos parents et nos concitoyens, tandis que l'amour de l'humanité est indirect et acquis. A ceux-là nous allons tout droit, à celle-ci nous ne venons que par un détour ; car c'est seulement à travers Dieu, en Dieu, que la religion convie à aimer le genre humain ; comme aussi c'est seulement à travers la Raison, dans la Raison par où nous communions tous, que les philosophes nous font regarder l'humanité pour nous montrer l'éminente dignité de la personne humaine, le droit de tous au respect. Ni dans un cas ni dans l'autre nous n'arrivons à l'humanité par étapes, en traversant la famille et la nation. Il faut que, d'un bond, nous nous soyons transportés plus loin qu'elle et que nous l'ayons atteinte sans l'avoir prise pour fin, en la dépassant. Qu'on parle d'ailleurs le langage de la religion ou celui de la philosophie, qu'il s'agisse d'amour ou de respect, une autre morale, c'est un autre genre d'obligation.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=bergson&texte=&reference=&theme=§Bergson (Henri)§Texte donné au baccalauréat.§art|realite|vivant§§Quand un musicien compose une symphonie, son oeuvre était-elle possible avant d'être réelle ? Oui, si l'on entend par là qu'il n'y avait pas d'obstacle insurmontable à sa réalisation. Mais de ce sens tout négatif du mot on passe, sans y prendre garde, à un sens positif : on se figure que toute chose qui se produit aurait pu être aperçue d'avance par quelque esprit suffisamment informé, et qu'elle préexistait ainsi, sous forme d'idée, à sa réalisation ; - conception absurde dans le cas d'une oeuvre d'art, car dès que le musicien a l'idée précise et complète de la symphonie qu'il fera, sa symphonie est faite. Ni dans la pensée de l'artiste, ni, à plus forte raison, dans aucune autre pensée comparable à la nôtre, fut-elle impersonnelle, fut-elle même simplement virtuelle, la symphonie ne résidait en qualité de possible avant d'être réelle. Mais n'en peut-on pas dire autant d'un état quelconque de l'univers pris avec tous les êtres conscients et vivants ? N'est-il pas plus riche de nouveauté, d'imprévisibilité radicale, que la symphonie du plus grand maître ?
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=bergson&texte=&reference=&theme=§Bergson (Henri)§Texte donné au baccalauréat.§philosophie|sens|concept§§Les difficultés qu'on rencontre au cours d'une lecture philosophique tiennent rarement au vocabulaire, quoique ce soit presque toujours au vocabulaire qu'on les attribue. Il est inutile et il serait d'ailleurs le plus souvent impossible au philosophe de commencer par définir  comme certains le lui demandent  la nouvelle signification qu'il attribuera à un terme usuel, car toute son étude, tous les développements qu'il va nous présenter auront pour objet d'analyser ou de reconstituer avec exactitude et précision la chose que ce terme désigne vaguement aux yeux du sens commun ; et la définition, en pareille matière, ne peut être que cette analyse ou cette synthèse ; elle ne tiendrait pas dans une formule simple. Parti d'un sens qu'il n'a pas besoin de définir, parce que c'est celui que tout le monde connaît, le philosophe aboutit à un sens qu'il a parfaitement défini, s'il est maître de sa pensée : son exposé est cette définition même.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=bergson&texte=&reference=&theme=§Bergson (Henri)§Texte donné au baccalauréat.§langage|chose|reel§§Le philosophe étudie le plus souvent une chose que le sens commun a déjà désignée par un mot. Cette chose peut n'avoir été qu'entrevue ; elle peut avoir été mal vue ; elle peut avoir été jetée pêle-mêle avec d'autres dont il faudra l'isoler. Elle peut même n'avoir été découpée dans l'ensemble de la réalité que pour la commodité du discours et ne pas constituer effectivement une chose, se prêtant à une étude indépendante. Là est la grande infériorité de la philosophie par rapport aux mathématiques et même aux sciences de la nature. Elle doit partir de la désarticulation du réel qui a été opérée par le langage, et qui est peut-être toute relative aux besoins de la cité : trop souvent elle oublie cette origine, et procède comme ferait le géographe qui, pour délimiter les diverses régions du globe et marquer les relations physiques qu'elles ont entre elles, s'en rapporterait aux frontières établies par les traits.
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=bergson&texte=&reference=&theme=§Bergson (Henri)§Texte donné au baccalauréat.§langage|pensee|chose§§Nous ne voyons pas les choses mêmes ; nous nous bornons, le plus souvent, à lire des étiquettes collées sur elles. Cette tendance, issue du besoin, s'est encore accentuée sous l'influence du langage. Car les mots (à l'exception des noms propres) désignent des genres... Et ce ne sont pas seulement les objets extérieurs, ce sont aussi nos propres états d'âme qui se dérobent à nous dans ce qu'ils ont d'intime, de personnel, d'originalement vécu. Quand nous éprouvons de l'amour ou de la haine, quand nous nous sentons joyeux ou tristes, est-ce bien notre sentiment lui-même qui arrive à notre conscience avec les mille nuances fugitives et les mille résonances profondes qui en font quelque chose d'absolument nôtre : Nous serions alors tous romanciers, tous poètes, tous musiciens. Mais le plus souvent, nous n'apercevons de notre état d'âme que son déploiement extérieur. Nous ne saisissons de nos sentiments que leur aspect impersonnel, celui que le langage a pu noter une fois pour toutes parce qu'il est à peu près le même, dans les mêmes conditions, pour tous les hommes. Ainsi, jusque dans notre propre individu, l'individualité nous échappe. Nous nous mouvons parmi des généralités et des symboles. 
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=bergson&texte=&reference=&theme=§Bergson (Henri)§Texte donné au baccalauréat.§liberte|autrui|egalite§§On dit couramment que l'individu a droit à toute liberté qui ne lèse pas la liberté d'autrui. Mais l'octroi d'une liberté nouvelle, qui aurait pour conséquence un empiétement de toutes les libertés les unes sur les autres dans la société actuelle, pourrait produire l'effet contraire dans une société dont cette réforme aurait modifié les sentiments et les moeurs. De sorte qu'il est souvent impossible de dire a priori quelle est la dose de liberté de ses semblables ; quand la quantité change, ce n'est plus la même qualité. D'autre part, l'égalité ne s'obtient guère qu'aux dépens de la liberté, de sorte qu'il faudrait commencer par se demander quelle est celle des deux qui est préférable à l'autre. Mais cette question ne comporte aucune réponse générale ; car le sacrifice de telle ou telle liberté, s'il est librement consenti par l'ensemble des citoyens, est encore de la liberté ; et surtout la liberté qui reste pourra être d'une qualité supérieure si la réforme accomplie dans le sens de l'égalité a donné une société où l'on respire mieux, où l'on éprouve plus de joie à agir. 
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=bergson&texte=&reference=&theme=§Bergson (Henri)§Texte donné au baccalauréat.§art|realite|verite§§Qu'il soit peinture, sculpture, poésie ou musique, l'art n'a d'autre objet que d'écarter les symboles pratiquement utiles, les généralités conventionnellement et socialement acceptées, enfin tout ce qui nous masque la réalité, pour nous mettre face à face avec la réalité même. C'est d'un malentendu sur ce point qu'est né le débat entre le réalisme et l'idéalisme dans l'art. L'art n'est sûrement qu'une vision plus directe de la réalité. Mais cette pureté de perception implique une rupture avec la convention utile, un désintéressement inné du sens ou de la conscience, enfin une certaine immatérialité de vue, qui est ce qu'on a toujours appelé de l'idéalisme. De sorte qu'on pourrait dire, sans jouer aucunement sur le sens des mots, que le réalisme est dans l'oeuvre quand l'idéalisme est dans l'âme, et que c'est à force d'idéalité seulement qu'on reprend contact avec la réalité. 
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=bergson&texte=&reference=&theme=§Bergson (Henri)§L'énergie spirituelle, Essais et conférences, chapitre I, La conscience et la vie.Texte donné au baccalauréat.§conscience|liberte|memoire§§Qu'arrive-t-il quand une de nos actions cesse d'être spontanée pour devenir automatique ? La conscience s'en retire. Dans l'apprentissage d'un exercice, par exemple, nous commençons par être conscients de chacun des mouvements que nous exécutons, parce qu'il vient de nous, parce qu'il résulte d'une décision et implique un choix ; puis, à mesure que ces mouvements s'enchaînent davantage entre eux et se déterminent plus mécaniquement les uns les autres, nous dispensant ainsi de nous décider et de choisir, la conscience que nous en avons diminue et disparaît. Quels sont, d'autre part les moments où notre conscience atteint le plus de vivacité ? Ne sont-ce pas les moments de crise intérieure, où nous hésitons entre deux ou plusieurs partis à prendre, où nous sentons que notre avenir sera ce que nous l'aurons fait ? Les variations d'intensité de notre conscience semblent donc bien correspondre à la somme plus ou moins considérable de choix ou, si vous voulez de création, que nous distribuons sur notre conduite. Tout porte à croire qu'il en est ainsi de la conscience en général. Si conscience signifie mémoire et anticipation, c'est que conscience est synonyme de choix. 
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=bergson&texte=&reference=&theme=§Bergson (Henri)§Texte donné au baccalauréat.§conscience|corps|perception§§On ne se lasse pas de répéter que l'homme est bien peu de chose sur la terre, et la terre dans l'univers. Pourtant, même par son corps, l'homme est loin de n'occuper que la place minime qu'on lui octroie d'ordinaire, et dont se contentait Pascal lui-même quand il réduisait le corps à n'être, matériellement, qu'un roseau. Car si notre corps est la matière à laquelle notre conscience s'applique, il est coextensif à notre conscience, il comprend tout ce que nous percevons, il va jusqu'aux étoiles. Mais ce corps immense change à tout instant, et parfois radicalement, pour le plus léger déplacement d'une partie de lui-même qui en occupe le centre et qui tient dans un espace minime. Ce corps intérieur et central, relativement invariable, est toujours présent. Il n'est pas seulement présent, il est agissant : c'est par lui, et par lui seulement, que nous pouvons mouvoir d'autres parties du grand corps. Et comme l'action est ce qui compte, comme il est entendu que nous sommes là où nous agissons, on a coutume d'enfermer la conscience dans le corps minime, de négliger le corps immense... Mais la vérité est tout autre, et nous sommes réellement dans tout ce que nous percevons (1).(1) La lecture du Discours de métaphysique de Leibniz fera comprendre l'inspiration de Bergson ici (FE).
ac-grenoble.fr§http://www.ac-grenoble.fr/PhiloSophie/old2/bases/search.php?auteur=berkeley&texte=&reference=&theme=§Berkeley (George)§Traité sur les principes de la connaissance humaine, in Oeuvres, t. 1, éd. G. Brykman, Paris, P.U.F., 1985, pp. 320-322.§perception|matiere|pensee§1985§3 - Que ni nos pensées ni nos passions ni les idées formées par l'imagination n'existent hors de l'esprit, c'est ce que tout le monde accordera. Et il semble tout aussi évident que les diverses impressions ou idées imprimées sur les sens, quelque mélangées ou combinées qu'elles puissent être (c'est-à-dire quels que soient les objets qu'elles composent), ne peuvent exister autrement que dans un esprit qui les perçoit. Je pense qu'une connaissance intuitive de cela peut s'obtenir par quiconque fera attention à ce que veut dire le terme «  exister » lorsqu'il est appliqué aux choses sensibles. Je dis que la table sur laquelle j'écris existe, c'est-à-dire que je la vois et la touche, et, si je n'étais pas dans mon bureau, je dirais que cette table existe, ce par quoi j'entendrais que, si j'étais dans mon bureau, je pourrais la percevoir ; ou bien, que quelque autre esprit (spirit) la perçoit actuellement. «  il y eut une odeur », c'est-à-dire, elle fut sentie ; «  il y eut un son », c'est-à-dire, il fut entendu ; «  il y eut une couleur ou une figure » : elle fut perçue par la vue ou le toucher. C'est tout ce que je puis entendre par des expressions telles que celles-là. Car, quant à ce que l'on dit de l'existence absolue de choses non pensantes, sans aucun rapport avec le fait qu'elles soient perçues, cela semble parfaitement inintelligible. L'esse de ces choses-là, c'est leur percipi ; et il n'est pas possible qu'elles aient une existence quelconque en dehors des esprits ou des choses pensantes qui les perçoivent.4 - Certes, il y a une opinion curieusement dominante parmi les hommes, selon laquelle des maisons, des montagnes, des rivières, bref tous les objets sensibles possèdent une existence naturelle ou réelle, distincte du fait qu'ils sont perçus par l'entendement. Mais, quels que soient l'assurance et l'accord avec lesquels un tel principe est reçu dans le monde, pourtant, quiconque trouvera au fond de son coeur des motifs de s'interroger sur la question pourra, si je ne me trompe, y déceler une contradiction manifeste. Car que sont les objets susdits sinon des choses que nous percevons par les sens ; et que percevons-nous hormis nos propres idées ou sensations ? N'y a-t-il pas une contradiction manifeste à admettre que n'importe laquelle de celles-ci, ou de leur combinaison, puisse exister sans être perçue ?5 - Si l'on examine à fond une telle opinion, on trouvera peut-être qu'elle dépend, au fond, de la doctrine des idées abstraites. Car peut-il y avoir un effort d'abstraction plus subtil que celui qui consiste à distinguer l'existence des objets sensibles de la perception qu'on en a, afin de les concevoir comme existant sans qu'ils soient perçus ? La lumière et les couleurs, la chaleur et le froid, l'étendue et les figures - en un mot, les choses que nous voyons et sentons, que sont-elles sinon autant de sensations, notions, idées ou impressions qui se font sur les sens ; et est-il possible de séparer, même en pensée, l'une d'elles de la perception qu'on en a ? Pour ma part, je pourrais aussi bien séparer une chose d'elle-même. Certes, je peux en pensée séparer ou concevoir à part l'une de l'autre des choses que, peut-être, je n'ai, par les sens jamais perçues comme divisées de cette façon-là. C'est ainsi que je m'imagine le tronc d'un être humain qui n'aurait ni jambes ni bras, ou que je conçois le parfum d'une rose sans penser à la rose elle-même. Dans cette mesure, je ne nierai pas que je puisse abstraire, si l'on peut appeler à proprement parler abstraction cette opération qui consisterait seulement à concevoir séparément des objets dont il est possible qu'ils existent réellement ou qu'ils soient réellement perçus à part les uns des autres. Mais mon pouvoir de concevoir ou d'imaginer ne s'étend pas au-delà de la possibilité d'existence réelle ou de perception. Dès lors, comme il m'est impossible de voir ou de toucher aucune chose sans avoir une sensation actuelle de cette chose, il m'est également impossible de concevoir dans mes pensées aucune chose ou objet sensible qui soit distinct de la sensation ou de la perception que j'en ai.6 - Il y a des vérités qui nous sont si proches, et qui sont si évidentes à l'esprit (mind), qu'un homme n'a qu'à ouvrir les yeux pour les voir. Telle en est, me semble-t-il, celle-ci qui est importante, à savoir : tout le choeur du ciel et tout ce qui meuble la terre, en un mot, tous ces corps qui constituent l'imposant cadre du monde n'ont aucune subsistance hors d'un esprit ; leur esse (être) consiste à être perçu ou connu ; et, par conséquent, aussi longtemps qu'ils ne sont pas réellement perçus par moi, ou qu'ils n'existent ni dans mon esprit ni dans celui d'une autre créature, il faudra, ou bien qu'ils n'aient aucune existence du tout, ou bien qu'ils subsistent dans l'esprit de quelque être éternel ; car il est parfaitement inintelligible et cela implique toute l'absurdité de l'abstraction, que d'attribuer à la moindre partie d'entre eux une existence qui soit indépendante d'un esprit (spirit). Pour en être persuadé, le lecteur n'a qu'à réfléchir et essayer de séparer, dans sa pensée, l'être d'une chose sensible du fait qu'elle est perçue.
